商品コード,商品名,カテゴリ名,販売価格,更新日,在庫数,在庫インポートフラグ,在庫扱いの種別
000670,つぼ鯛フィレ干,干物,525,2018/12/15 02:20:11,999999766,インポート可,在庫がないと注文できない
000671,さば文化干,干物,382,2019/09/04 02:20:00,999998937,インポート可,在庫がないと注文できない
000672,本ししゃも干,干物,651,2018/12/15 02:20:11,999999316,インポート可,在庫がないと注文できない
000673,子持ししゃも干,干物,315,2018/12/15 02:20:11,999999554,インポート可,在庫がないと注文できない
000674,うるめ丸干,干物,357,2018/12/15 02:20:11,999999534,インポート可,在庫がないと注文できない
000675,ほっけみりん干,干物,397,2018/12/15 02:20:11,999999388,インポート可,在庫がないと注文できない
000676,さんま桜干し（みりん）,干物,410,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000677,いわし味醂干,干物,389,2018/12/15 02:20:11,999999737,インポート可,在庫がないと注文できない
000678,ちりめん,干物,482,2019/01/25 02:20:00,999997802,インポート可,在庫がないと注文できない
000679,釜あげしらす,干物,368,2018/12/15 02:20:11,999999498,インポート可,在庫がないと注文できない
000680,カキ飯の素,水産加工品[低温解凍],441,2018/12/15 02:20:11,999999898,インポート可,在庫がないと注文できない
000681,帆立飯の素,水産加工品[低温解凍],368,2018/12/15 02:20:11,999999869,インポート可,在庫がないと注文できない
000682,きびなご南蛮漬,水産加工品[低温解凍],389,2018/12/15 02:20:11,999999355,インポート可,在庫がないと注文できない
000683,豆あじ南蛮漬,水産加工品[低温解凍],294,2018/12/15 02:20:11,999999194,インポート可,在庫がないと注文できない
000684,豆あじ南蛮漬（セット）,水産加工品[低温解凍],529,2018/12/15 02:20:11,999999530,インポート可,在庫がないと注文できない
000685,にしん昆布巻,水産加工品[低温解凍],578,2018/12/15 02:20:11,999999749,インポート可,在庫がないと注文できない
000686,金のさんま,水産加工品[低温解凍],389,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000687,金ごまいわし,水産加工品[低温解凍],504,2018/12/15 02:20:11,999999517,インポート可,在庫がないと注文できない
000688,焼き穴子,水産加工品[低温解凍],441,2018/12/15 02:20:11,999999434,インポート可,在庫がないと注文できない
000689,さば塩焼,水産加工品[低温解凍],389,2018/12/15 02:20:11,999999223,インポート可,在庫がないと注文できない
000690,ちゃんちゃん切身焼き（鮭）,水産加工品[低温解凍],599,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
000691,焼き穴子キザミ,水産加工品[低温解凍],504,2018/12/15 02:20:11,999999630,インポート可,在庫がないと注文できない
000692,うなぎ蒲焼　特大,水産加工品[低温解凍],588,2018/12/15 02:20:11,999999033,インポート可,在庫がないと注文できない
000693,うなぎ蒲焼　大,水産加工品[低温解凍],525,2018/12/15 02:20:11,999999268,インポート可,在庫がないと注文できない
000694,国産うなぎ蒲焼,水産加工品[低温解凍],1225,2019/06/18 02:20:00,999998963,インポート可,在庫がないと注文できない
000695,キザミうなぎの蒲焼,水産加工品[低温解凍],596,2018/12/15 02:20:11,999999745,インポート可,在庫がないと注文できない
000696,きんきの煮付,水産加工品[低温解凍],525,2018/12/15 02:20:11,999999785,インポート可,在庫がないと注文できない
000697,浅羽カレイ煮付,水産加工品[低温解凍],399,2018/12/15 02:20:11,999999483,インポート可,在庫がないと注文できない
000698,赤魚煮付,水産加工品[低温解凍],368,2018/12/15 02:20:11,13,インポート可,在庫がないと注文できない
000699,サバ味噌煮,水産加工品[低温解凍],294,2018/12/19 02:20:00,999998461,インポート可,在庫がないと注文できない
000700,さわら味噌煮,水産加工品[低温解凍],525,2018/12/15 02:20:11,999999889,インポート可,在庫がないと注文できない
000701,サバ甘酢あんかけ,水産加工品[低温解凍],420,2018/12/15 02:20:11,999999526,インポート可,在庫がないと注文できない
000702,さんま梅煮しそ風味,水産加工品[低温解凍],221,2018/12/15 02:20:11,0,インポート可,在庫がないと注文できない
